,model,category,fold1,fold2,fold3,fold4,fold5,avg
0,bart,0,0.710716118157527,0.709009350702209,0.712920793555241,0.711168504617763,0.7091192817213,0.710586809750808
1,bart,1,0.71130881929762,0.703439700613992,0.706211438133315,0.69840799040631,0.702017181974455,0.704277026085139
2,bart,2,0.763689238774,0.77034451612639,0.76812971807988,0.762108282598303,0.746739617504623,0.762202274616657
3,bart,3,0.868807222413823,0.8812173517968,0.879499842719653,0.886924469375541,0.88241233126215,0.879772243513593
4,bart,4,0.836020699498651,0.829264005419821,0.837974883352441,0.82888091588674,0.834688237634034,0.833365748358339
5,bart,5,0.871294969699939,0.874574801247524,0.867368874940381,0.865040240572582,0.868625760963585,0.869380929484802
6,bart,6,0.666866846452564,0.676742992005211,0.669123116602624,0.701048473210852,0.692165324515915,0.681189350557433
7,bart,7,0.700341487813647,0.696445375487341,0.701261189949221,0.702877202450538,0.69795702037429,0.699776455215007
8,convbert,0,0.711399827093626,0.712562170386558,0.711629183515154,0.714282685516867,0.713357820444677,0.712646337391377
9,convbert,1,0.71019831600179,0.7023081871299,0.70244046982896,0.706356065763971,0.701118796555821,0.704484367056089
10,convbert,2,0.76588257163173,0.78362938659337,0.751265618147999,0.779190723309754,0.768698997263428,0.769733459389258
11,convbert,3,0.87791646460789,0.879369455129815,0.879580727076395,0.883611624076434,0.882453262261022,0.880586306630311
12,convbert,4,0.831090456936201,0.820325905419936,0.825470448991785,0.826454622988571,0.825337269257778,0.825735740718854
13,convbert,5,0.883071270847068,0.868256083766092,0.873342517852283,0.88022579924386,0.881382471718144,0.877255628685489
14,convbert,6,0.666364270925761,0.680951316229658,0.680526941358152,0.697778339704653,0.668108381846504,0.678745850012946
15,convbert,7,0.705618128029559,0.703333137555439,0.705036065512937,0.701598126798758,0.705370277636144,0.704191147106567
16,electra,0,0.713165570695767,0.704943219670035,0.713545356070882,0.715548296076698,0.713646787697311,0.71216984604213
17,electra,1,0.683089494045516,0.677110965532557,0.67638975074259,0.678196231997509,0.67390876462425,0.677739041388484
18,electra,2,0.742306680341997,0.772894276967653,0.749623489463697,0.742526014909051,0.758875685468247,0.753245229430129
19,electra,3,0.882380710422044,0.88288426783909,0.881061525970613,0.88317642271458,0.880561085911453,0.882012802571556
20,electra,4,0.828589417233814,0.82733330925678,0.836982321254849,0.823112963276108,0.836809323820051,0.830565466968322
21,electra,5,0.864740286609451,0.886244788059358,0.877892404467977,0.873740773572561,0.88185848258594,0.876895347059057
22,electra,6,0.67046896044481,0.626012055791758,0.6338586823608,0.69422213846789,0.662467773887388,0.657405922190533
23,electra,7,0.334160260975489,0.699978564285063,0.700722405551024,0.701892663322198,0.690890471256576,0.62552887307807
24,gpt2,0,0.701361111838602,0.700739805254102,0.698645112158369,0.702932572968829,0.701703550291812,0.701076430502343
25,gpt2,1,0.6999273940808,0.701026507553199,0.697954842783014,0.694132294964667,0.695239320120411,0.697656071900422
26,gpt2,2,0.726902918162084,0.737547043513263,0.743553416343603,0.756844085869301,0.759037784212924,0.744777049620235
27,gpt2,3,0.88161552422857,0.8832339864173,0.881984231094424,0.88246578477673,0.883028506424776,0.88246560658836
28,gpt2,4,0.815100396423754,0.81798455220007,0.805642178206762,0.811440890969756,0.81712710271208,0.813459024102484
29,gpt2,5,0.854938375410794,0.871852162241567,0.844571506251053,0.839701803577331,0.843019784343477,0.850816726364844
30,gpt2,6,0.605359546251621,0.606303155778972,0.593226984449488,0.638065224844738,0.604314419492786,0.609453866163521
31,gpt2,7,0.697328160203235,0.693758689850768,0.695782556863321,0.69397260980455,0.699435117811278,0.69605542690663
32,roberta-twitter,0,0.709297918756114,0.711411486516414,0.71514919230491,0.713910472803659,0.701027039617583,0.710159221999736
33,roberta-twitter,1,0.70067384111243,0.701121995331811,0.69675172302461,0.702940343678418,0.701887127884965,0.700675006206448
34,roberta-twitter,2,0.775434928410899,0.783660259563293,0.764996279534799,0.753594819870075,0.766924132350665,0.768922083945946
35,roberta-twitter,3,0.890868872943531,0.888423293912832,0.888822801093878,0.89037175362892,0.890078380499168,0.889713020415666
36,roberta-twitter,4,0.84017908659343,0.822193953065677,0.83376091799555,0.83720768268207,0.834002697416614,0.83346886755067
37,roberta-twitter,5,0.88300433105692,0.871977735216471,0.857081288927162,0.876526284491929,0.875630182137804,0.872843964366057
38,roberta-twitter,6,0.661347192293066,0.677233750770394,0.66076671659472,0.696551120184601,0.664906638950926,0.672161083758743
39,roberta-twitter,7,0.705046126129281,0.703781380669925,0.698664255415659,0.702044575008689,0.701090709209879,0.702125409286687
